Text,Target,Label
unfortunatly this seems to be how christians are taught to think whenit comes to their religion some take it to the extreme and say thattheir religion is the only one and if you dont accept their teachingsthen you wont be saved it takes quite a bit of arrogance to claimto know what god thinkswants especially when its based upon yourinterpretation of a book the logic in the above statement is faultyin that it assumes two people with differing beliefs cant both becorrect its all about perception no two people are exactly alikeno two people perceive everything in the same way i believe thatthere is one truth call it gods truth a universal truth or call itwhat you will i dont believe god presents this truth i think it isjust there and its up to you to look for and see it through prayermeditation inspir ation dreams or whatever just because people mayperceive this truth differently it doesnt mean one is wrong and theother is right as an example take the question is the glass halfempty or half full you can have two different answers which arecontradictory and yet both are correct so for your belief to betrue does not require everyone elses belief to be wrong,15,christian
judging from postings ive read all over usenet and on nonusenetbbs conferences barney is definitely an endangered species especiallyif he runs into me in a dark alley                                                                               alizard,19,misc
i agree we need sleep  etc but i disagree we are _just_ animals   that statement is a categorical negative its like saying there are  _no_ polkadoted elephants  it may be true but one would have to be  omniscient to know for sure,15,christian
well dozens of children left the compound between the original batf assualtand the fbi assault 7 weeks later so if koresh really wanted to killchildren why did he let so many go,19,misc
anyone who dies for a cause runs the risk of dying for a lie  as forpeople being able to tell if he was a liar well weve had grifters andcharlatans since the beginning of civilization  if david copperfield hadbeen the messiah i bet he could have found plenty of believers  jesus was hardly the first to claim to be a faith healer and he wasnt thefirst to be witnessed  what sets him apartrubbish  nations have followed crazies liars psychopaths and megalomaniacs throughout history  hitler tojo mussolini khomeiniqadaffi stalin papa doc and nixon come to mindall from this centurykoresh is a nonissuetake a discrete mathematics or formal logic course  there are flaws in yourlogic everywhere  and as im sure others will tell you read the faqof course you have to believe the bible first  just because something iswritten in the bible does not mean it is true and the age of that tome plusthe lack of external supporting evidence makes it less credible  so if youdo quote from the bible in the future try to back up that quote with supporting evidence  otherwise you will get flamed mercilesslyjust like weight lifting or guitar playing eh  i dont know how you define the world total but i would imagine a total sacrafice spof everything for gods sake would involve more than a time commitmentyou are correct about our tendency to box everything into time unitswould you explain how one should involove god in sports and hehehetelevision,0,atheism
	agreed       satan and the angels do not have freewill          they do what god tells them to do ,0,atheism
hi damon  no matter what system or explanation of creation you wishto accept you always have to start with one of two premises creationfrom nothing or creation from something  there are no otheralternatives  and if we accept one or the other of those twopremises then again there are two alternatives either creation wasrandom or was according to some plan   if it was random i am unable to accept that the complex nature ofour world with interrelated interdependent organisms and creaturescould exist as they do  therefore i am left with creation under thecontrol of an intelligence capable of devising such a scheme  i callthat intelligence god   i also prefer the creatio ex nihilo rather than from chaos as itis cleaner   there is obviously no way to prove either or neither  we are andwe must have come from somewhere  choose whatever explanation youfeel most comfortable with damon  you are the one who has to livewith your choiceshalom                                  len howard,15,christian
be warned it is not my job to convert you  that is the job ofthe holy spirit  and i frankly make a lousy one  i am onlyhere to testify  your conversion is between you and god  i amout of the loop  if you decide to follow jesus of which iindeed would be estatic then all the glory be to god,19,misc
of course if this question was asked in a group dealing with economicsthe answer would be that the cause of war was economic my observationsover the past 30 years and not withstanding a little history readingbeside is that while religious differences do play a part in many ofthe conflicts so does unfortunately race economics and any otheritems that identify one group of men as being different from anotherif we want to couch the cause of conflict in christian terms i wouldput it while christ died for our sins we are yet sinners while someindividuals assume christlike natures most of us do not evencome closei realize that in many ways this is a trite answer but i guess thatit is my way of rationalizing mans constant or so it seemsconflict,15,christian
if you want to live with someone you canif you dont want to have a civil marriage dontif you dont want to have a wedding in a church dontif you want to call that a marriage go right aheadi hope that the young people that are around you dont follow your example,15,christian
it can be painless so it isnt cruel  and it has occurred frequentlysince the dawn of time so it is hardly unusualbut innocents die due to many causes  why have you singled outaccidental or false execution as the one to take issue with,0,atheism
you could argue that if you wanted but i think a more reasonable argument would point out the fact that the remembrance feast wasvery similar to the pesach passover meal during seder a veryjewish ritual the fact that there appears to be an abuse in the early church ofpeople eating too much a very real concern with some passover mealsand not treating the meal with respect shows the simplifying of theritual to just bread and wine to be a way of dealing with theinherent problems of peoples human nature and trying to keep theessentials of the remembrance aspects,19,misc
that happens to be a subjective example that the people of theus would happen to agree on  continue to move the price up at some point a few people would accept then more then more until probably all would accept at a high enough numberendpoints of a subjective scale are not the given homes of objective viewpoints,19,misc
ideologies also split giving more to disagree upon and may also leadto intolerance  so do you also oppose all ideologiesi dont think your argument is an argument against religion at all butjust points out the weaknesses of human naturei would like a reference if you have got one for this is news to meone must approach the quran with intelligence  any thinking approachto the quran cannot but interpret the above verse and others like itthat women and men are spiritual equalsi think that the above verse does clearly imply that women havesouls  does it make any sense for something without a soul to beforgiven  or to have a great reward understood to be in theafterlife  i think the usual answer would be no  in which case thepart saying for them has god prepared forgiveness and a great rewardsays they have souls  if it makes sense to say that things without souls can be forgiven then i have no idea _what_ a soul isas for your saying that the quote above may not be given a high priorityin all interpretations any thinking approach to the quran has to giveall verses of the quran equal priority  that is because according tomuslim belief the _whole_ quran is the revelation of god  in factdenying the truth of any part of the quran is sufficient to beconsidered a disbeliever in islamlook any approach to the quran must be done with intelligence andthought  it is in this fashion that one can try to understand thequrans message  in a book of finite length it cannot explicitlyanswer every question you want to put to it but through its teachingsit can guide you  i think however that women are the spiritual equalsof men is clearly and unambiguously implied in the above verse and thatsince women can clearly be forgiven and rewarded they _must_ havesouls from the above verselets try to understand what the quran is trying to teach rather thantry to see how many ways it can be misinterpreted by ignoring thispassage or that passage  the misinterpretations of the quran based onignoring this verse or that verse are infinite but the interpretations fully consistent are more limited  lets try to discuss theseinterpretations consistent with the text rather than how people canignore this bit or that bit for that is just showing how people can tryto twist islam for their own ends  something i do not deny  butprovides no reflection on the true teachings of islam whatsoever,0,atheism
didnt paul write that if the resurrection is not true we are thebiggest fools of all  however whether you believe in christ or nothis teachings eg love your brotherman as yourself even if only followed at a secular level could do a great deal to alleviate some of the problems we see today in the world  even when i was a rabid atheist i couldnt deny that,15,christian
faq and darius response deletedi am myself an sda and i am in total agreement with what darius has to say  i also worship on saturday to honor the lord  your mention of esteeming all days alike imo has to do with the fast days observed by the jews  but no matter how you interpret that passage i do accept your worship on sunday as being done in honor of the lord in contrast with what many of my fellow sda believers may believe  to me though the bible overwhelmingly points to saturday as the day to be kept in honor of creation and of gods deliverance of the israelites from egyptian bondage  to those who would attempt to point out that my observance of saturday is being legalistic this is simply not the case  rather keeping saturday allows me a full day to rest and contemplate gods goodness and gracethe idea was introduced to me once that the reason paul wanted the corinthians to lay aside money for the collection on the first day of the week was because that was when they received their weekly wages  paul wanted them to lay aside money for the collection as first priority before spending their money on other things  i do not have any proof in front of me for this though although it would explain why they would lay aside money in their homes instead of a meeting  it would seem to me that you assume that the christians in the nt regularly worshipped on the first day  i assume that the christians in the nt regularly worshipped on the seventh day  but i agree with you that we only have implications because the authors did assume the reader knew when worhip was,15,christian
this thread seems to be arguing the validity of a religious viewpointaccording to some utilitarian principle ie atheismreligion iswrong because it causes death  the underlying moral is that deathis wrong  this is a rather arbitrary measure of validityget some epistemology,0,atheism
i have heard that the sabbath was originally determined by the phases ofthe moon and had elements of moon worship  early stuff egyptian in nature,19,misc
i disagree with these  what society thinks should be irrelevant  what theindividual decides is all that is importanti think this is fairly obviousgenerally by what they feel is right which is the most idiotic policy i canthink ofby thinking for ourselves,0,atheism
 ,15,christian
	both christians and nonchristians laugh at this quote becauseit exaggerates something we all feel but know is not true  uschristians just know that a little better    			in god we trust			christopher,15,christian
the two commandments are rules they are merely rules that areso vague that they are practically devoid of meaning  michaelsiemon acknowledges this every time he writes that the resolutionof an argument over them turns on secular and culturalassumptions that are independent of these rules the commandment to love your neighbor as yourself can be viewedin part as reminding man that he is not god and cannot act as ifhe has ultimate responsibility indeed many traditions presentan interpretation where believers are supposed to interpretloving ones neighbor as following various other rules andrelying on their god to make things come out right preciselybecause it would be wrong for man to assume such ultimateresponsibility once again we are confronted with good soundinggoo that means whatever the reader wants it to mean and who is to say that this interpretation is twisted  thereare many passages in the bible that in their most straightforwardreading show the christian god behaving in just this waymichael cannot refer to base claims or base commandments toshow that such readings are twisted because this divergence inunderstanding occurs even in trying to interpret the baseclaims and commandments  in addressing conservative christiansmichael will necessarily draw upon secular and cultural notionsthat these conservative christians will reject  but these base commandments are too vague to serve as  aprinciple for the critique of ethical systems the meaning ofthese base commandments for any believer derives from the secularand cultural notions that the believer brings to them from howthe believer mixes their demands with straightforward readings ofother biblical passages from a particular sectarian traditionor from some combination of these things  these commandmentslack sufficient substance in themself to serve as a basis forcriticizing ethical systems  what meaning they have comes fromthe ethical system the believer brings to these commandments jesus explicitly states that this summarizes jewish law whichwould seem to bring in all of it if we properly understand whatit means to love god and love our neighbors  there are manyparables and teachings the gospels attribute to jesus that arestraightforwardly read as ethical commandments  the paulineepistles are similarly full  if it is not clear that these allcome together in a sensible understanding of ethical behaviorthe problem is not a lack of raw material no michael the conservative christians also take the gospel seriously  what differentiates you is the way you interpret thegospelin a sense the wide variety of interpretations does tell ussomething about christianity  it tells us that the new testamentauthors left a sufficiently vague hodgepodge that it can serveas the source text for many vastly different beliefs about thenature of the christian god and about what men should andshouldnt do the irony here is that there is nothing in christianity perse that michael can use to support the cause of lesbians andgays  every christian principle he turns to this cause iseffective only through the extrachristian principles throughwhich michael interprets his religion and the homophobes applythe same christian principles with equal justification totheir cause  in short it is the extrachristian principles thatmake michaels christianity beneficial and i suspect they wouldbe as beneficial perhaps moreso without being filtered bychristian interpretation  michael paints a picture of standard american atheism as therejection of the evil in many conservative christianinterpretations of the bible  but i think it is even moredamaging to christianity to note that the new testament presentssuch a vague hodgepodge of notions about the nature of god andthe nature of the good except of course when it is ordered byan interpretation that relies on extraneous principles  here ithink we should apply a christian parable where a cold drink canhave its value and a hot drink can have its value but thelukewarm we should spit out ,19,misc
 i  jim    i always thought that homophobe was only a word used at act up  rallies i didnt beleive real people used it lets see if we agree  on the terms definition a homophobe is one who actively and  militantly attacks homosexuals because he is actually a latent  homosexual who uses his hostility to conceal his true orientation  since everyone who disapproves of or condemns homosexuality is a  homophobe your implication is clear it must necessarily follow that  all men are latent homosexuals or bisexual at the very least    crap crap crap crap crap  a definition of any type of phobe comes from phobia  an irrational fear of  hence a homophobe not only in act up meetings the word is apparently in general use now  or perhaps it isnt in the bible   wouldst thou prefer if i were to communicate with thou in bilespeak  does an arachnophobe have an irrational fear of being a spider  does an agoraphobe have an irrational fear of being a wide open space  do you understand english  obviously someone who has  phobia will react to it  they will do their best to avoid it and if that is not possible they will either strike out or run away  or do gaybashings occur because of natural processes  people who definately have homophobia will either run away from gay people or cause them or themselves violence isnt that what i said what are you taking issue with here your remarks are merelyparenthetical to mine and add nothing useful    it would seem odd if homosexuality had any evolutionary function  other than limiting population growth since evolution only occurs  when the members of one generation pass along their traits to  subsequent generations homosexuality is an evolutionary deadend if i  take your usage of the term homophobe in the sense you seem to  intend then all men are really homosexual and evolution of our  species at least is going nowhere    so every time a man has sex with a woman they intend to produce children hmmno wonder the world is overpopulated  obviously you keep to the monty python song  every sperm is sacred  and if as you say it has a purpose as a means to limit population growth then it is by your own  arguement naturalconsider the context im talking about an evolutionary function oneof the most basic requirements of evolution is that members of aspecies procreate those who dont have no purpose in that context   another point is that if the offspring of each generation is to  survive the participation of both parents is necessary  a family must  exist since homosexuals do not reproduce they cannot constitute a  family since the majority of humankind is part of a family  homosexuality is an evolutionary abberation contrary to nature if you  will    well if that is true by your own arguements homosexuals would have  vanished years ago due to nonprocreation  also the parent from single parent families should put the babies out in the cold now cos they must by your arguement dieby your argument homosexuality is genetically determined as to yoursecond point you prove again that you have no idea what contextmeans i am talking about evolution the preservation of the speciesthe fundamental premise of the whole process   but it gets worse since the overwhelming majority of people actually  prefer a heterosexual relationship homosexuality is a social  abberation as well the homosexual eschews the biological imperative  to reproduce and then the social imperative to form and participate in  the most fundamental social element the family but wait theres  more    read the above  i expect you to have at least ten children by now with the family growing  these days sex is less to do with procreation admittedly without it there would be noone but more to do with pleasure  in prepill and precondom days if you had sex there was the chance of producing children these days is just aint true  people can decide whether or not to have  children and when  soon they will be able to choose its sex c but thats  another arguement so its more of a lifestyle decision  again by your arguement since homosexuals can not or choose not to reproduce they must be akin to people who decide to have sex but not children  both are  as unnatural as each otheryet another nonsequitur sex is an evolutionary function that existsfor procreation that it is also recreation is incidental thathomosexuals dont procreate means that sex is only recreation andnothing more they serve no evolutionary purpose   since homosexuals have come out the closet and have convinced some  policy makers that they have civil rights they are now claiming that  their sexuality is a preference a lifestyle an orientation a  choice that should be protected by law now if homosexuality is a mere  choice and if it is both contrary to nature and antisocial then it  is a perverse choice they have even less credibility than before they  became prominent     people are people are people  who are you to tell anyone else how to live their life  are you godtm  if so fancy a dateheres pretty obvious dodge do you really think youve said anythingor do you just feel obligated to respond to every statement i am nottelling anyone anything i am demonstrating that there are argumentsagainst the practice of homosexuality providing its a merely analternate lifestlye that are not homophobic that one can reasonablycall it perverse in a context even a atheist can understand i realizeof course that this comes dangerously close to establishing  a valueand that atheists are compelled to object on that basis but if youare to be consistent you have no case in this regard   to characterize any opposition to homosexuality as homophobic is to  ignore some very compelling arguments against the legitimization of  the homosexual lifestyle but since the charge is only intended to  intimidate its really just demogoguery and not to be taken  seriously fact is jim there are far more persuasive arguments for  suppressing homosexuality than those given but consider this a start    again crap  all your arguments are based on outdated ideals  likewise the bible  would any honest christian condemn the ten generations spawned by a bastard to eternal damnation  or someone who crushes his penis either accidently or not  both are in deuteronomyim sure your comment pertains to something but youve disguised itso well i cant see what where did i mention ideals outdated orotherwise your arguments are very reactionary do you have anythingat all to contribute   as to why homosexuals should be excluded from participation in  scouting the reasons are the same as those used to restrict them from  teaching by their own logic homosexuals are deviates social and  biological since any adult is a role model for a child it is  incumbent on the parent to ensure that the child be isolated from  those who would do the child harm in this case harm means primarily  social though that could be extended easily enough      you show me anyone who has sex in a way that everyone would describe as normal and will take of my hat puma baseball cap to you  one mans meat is another mans poison what has this got to do with anything would you pick a single pointthat you find offensive and explain your objections i would reallylike to believe that you can discuss this issue intelligibly,0,atheism
dan johnson asked for evidence that the most effective abuse recovery programs involve meeting peoples spiritual needsi responded in 12step programs like alcoholics anonymous one of the steps involves acknowleding a higher power  aa and other 12step abuse recovery programs are acknowledged as being among the most effectivedan johnson clarified,15,christian
superficially a good answer but it isnt that simple  an awful lot of thestarvation and poverty in the world is directly caused by the economicpolicies of the western countries as well as by the diet of the typicalwesterner  for instance some thirdworld countries with terriblemalnutrition problems export all the soya they can produce  so that it canbe fed to cattle in the us to make tender juicy steaks and burgers  theyhave to do this to get money to pay the interest on the crippling bank loanswe encouraged them to take out  fundraising for ethiopia is a truly bizarreidea instead we ought to stop bleeding them for every penny theyve gotperhaps its more accurate to say that theres a western ethic againstwestern infanticide  all the evidence suggests that so long as the childrenare dying in the third world we couldnt give a shit  and that goes for thesupposed prolife movement too  they could save far more lives byfighting against third world debt than they will by fighting againstabortion  hell if theyre only interested in fetuses they could save moreof those by fighting for human rights in chinaand besides suzannes answer implies that nonwestern countries lack thisethic against infanticide  apart from china with its policy of mandatoryforced abortion in tibet i dont believe this to be the case,19,misc
in the sex ed portion of the  high school health course i tookin 1984 it was impressed that the only 100 positive way to notget pregnant was to not have sexother methods of contraception were discussed in the framework ofa chart which showed both the _expected_ failure rate theoreticalassumes no mistakes and the _actual_ failure rate based on researchtop of the chart was something like this method                  expected         actual                   failure rate    failure rate abstinence                 0              0 and nfp natural family planning was on the bottom the teacher evensaid ive had some students tell me that they cant use anything forbirth control because theyre catholic well if youre not married andyoure a practicing catholic the top of the list is your slot not the bottom  even if youre not religious the top of the list issafestyes this was a public school and after dr koops failing abstinenceuse a condom statement on the prevention of aidsjen ,15,christian
id have to say that i have a problem with any organization religious or not where the idea that _simple speech_ suchas this is the basis for a crime,0,atheism
two follow ups to marks last posting	1  as far as current investigations the church recently declared the	    crying statue and corresponding messages from mary at akita	    japan as approved i found this out about a month ago	2  again in the proof department start with the appearances of mary	    at fatima  among other things there were pictures taken of the	    miracle of the sun that appeared in some major american newspaper	    the new york times i believe as well as most of the major	    european newspapers  	    i could talk or post for hours on this topic but 		i have a thesis to write						god bless							 mike walker,15,christian
because that would contradict your religious beliefs thereforeyou feel more comfortable simply accusing his sincerity so you willnot have to critically examine your religious beliefs,19,misc
i would really appreciate if when someone brought something likethis up they didnt back out when someone asked for details,19,misc
i apologize if this post isnt entirely appropriate for the newsgroup   i would like to correspond with any christians attending the universityof illinois at urbanachampaign  i will be transfering there in august tocomplete my phd and i thought it would be nice to correspond with peoplebefore i moved out,15,christian
 xenophobia both de facto and de jure as implemented in legal systems is widespread while the bible although not 100 egalitarian specifically preaches kindness to the stranger and emphasizes in the book of ruth that a foreigner can join the nation and give rise to one of the great heroes of the nation  clearly better than the alternative but as an american what strikes me as strange about this story is that it should have even been considered an issuejimthere are a couple of things about your post and others in this threadthat are a little confusing an atheist is one for whom all things canbe understood as processes of nature  exclusively there is no needfor any recourse to divnity to describe or explain anything there isno purpose or direction for any event beyond those required byphysics chemistry biology etc everything is random nothing isdetermninedthis would also have to include human intelligence of course and allits products there is nothing requiring that life evolve or that itacquire intelligence its just a happy accident for an atheist noevent can be preferred to another or be said to have more or lessvalue than another in any naturalistic sense and no thought aboutan event can have value the products of our intelligence are acquired from our environmentfrom teaching training observation and experience and are onlysignificant to the individual mind wherein they reside these mentalprocesses and the images they produce for us are just electricalactivity and nothing more content is of no consequence the humanmind is as much a response to natural forces as water running down ahillhow then can an atheist judge value what is the basis for criticizingthe values ennumerated in the bible or the purposes imputed to god onwhat grounds can the the behavior of the reliogious be condemned itseems that in judging the values that motivate others to action youhave to have some standard against which conduct is measured but whatin nature can serve that purpose what law of nature can you invoke toestablish your valuessince every event is entirely and exclusively a physical event whatdifference could it possibly make what anyone does religious orotherwise there can be no meaning or gradation of value the onlyway an atheist can object to any behaviour is to admit that theobjection is entirely subjective and that heshe just doesnt like it thats it any value judgement must be prefaced by the disclaimerthat it is nothing more than a matter of personal opinion and carriesno weight in any absolute sensethat you dont like what god told people to do says nothing about godor gods commands it says only that there was an electrical event in yournervous system that created an emotional state that your mind coupledwith a preexisting thoughtset to form that reaction that yourobjections seem well founded is due to the way youve beenconditioned there is no truth content the whole of yourintellectual landscape is an illusion a virtual realityi didnt make these rules its inherent in naturalistic atheism andto be consistent you have to accept the nonsignificance of any humanthought even your own all of this being so you have excludedyourself from any discussion of values right wrong goood eviletc and cannot participate your opinion about the bible can have noweight whatsoever,0,atheism
i have a hard time understanding this attitudeif the gospels are the least bit accurate then there can be littledoubt that jesus belived hell was a realityas a teacher what would be the wise and loving thing to do if peoplein your audience were headed there  to warn them  it would however be rather cruel andor sadistic to believe that such a place exists and then remain quiet about it  the only scenario i can envision in which dimished respect would bejustified is if jesus knew there was no such place as hell and spokeabout it anyway just to scare people unless you would accuse jesusof this i would encourage you to reconsider what a loving response is when you perceive someone to be in danger ,15,christian
  define perfect then   take your foot out of your mouth i wondered about that already when iwas a catholic christian the fact that the contradiction is unresolvableis one of the reasons why i am an atheist believe me i believed similar sentences for a long time but that showsthe power of religion and not anything about its claims   it follows from a definition of evil as ordinarily used letting evilhappen or allowing evil to take place in this place even causing evilis another evil   the omniscient attribute of god will know what the creatures will do evenbefore the omnipotent has created them there is no choice left all is knownthe course of events is fixed not even for the omniscient itself to extend an argument by james tims   and when i am not omnipotent how can i have free will you have saidsomething about choices and the scenario gives them therefore we havewhat you define as free will imagine the following i can do good to other beings but i cannot harm themeasily implemented by making everyone appreciate being the object of gooddeeds but dont make them long for them so they can not feel the absenceof good as evil but whose case am i arguing it is conceivable so the omnipotent can do itor it would not be omnipotent if you want logically consistent as well youhave to give up the pet idea of an omnipotent first deletion that the bible describes an omniscient and omnipotent god destroysthe credibility of the bible nothing less,0,atheism
  the argument goes as follows qoid quotes appear in john but not inthe almost codified way they were in matthew or luke however they areconsidered to be similar enough to point to knowledge of q as such andnot an entirely different source   we are talking date of texts here not the age of the authors the usualexplanation for the time order of mark matthew and luke does not considertheir respective ages it says matthew has read the text of mark and lukethat of matthew and probably that of mark as it is assumed that john knew the content of lukes text the evidencefor that is not overwhelming admittedly   when they are from about 200 why do they shed doubt on the order onputting john after the rest of the three   sure an original together with id card of sender and receiver would befine so whats that supposed to say am i missing something   that john was a disciple is not generally accepted the style and languagetogether with the theology are usually used as counterargument the argument that john was a disciple relies on the claim in the gospelof john itself is there any other evidence for it one step and one generation removed is bad even in our times compare thatto reports of similar events in our century in almost illiterate societiesnot even to speak off that believers are not necessarily the best sources  in other words one does not know what the original of mark did look likeand arguments based on mark are pretty weak,0,atheism
hi	anyone know anything about the interdisciplinary bible researchinstitute operating out of hatfield pa	im really interested in their theories on oldearthas opposed to young earth and what they believe about evolution	thanks		in the master		charley       seek god and you will find among other things                          piercing pleasure              seek pleasure and you will find boredom disillusionment                              and enslavement                                      john white eros defiled	,15,christian
christian antisemitism comes from the obvious fact that the jews shouldknow the hebrew scriptures better than anyone else yet they did notconvert to christianity en mass thus rejecting christian love,19,misc
lewb lets add to those percentages 1315 for the orphaic docteriansbrought lewbto the group by paulsaul who was a high ranking initiate onthe lewbdevelopment of orphaic mysteries see jane harrisons prolegomenato the lewbstudy of greek religion cambridge u press 1922 and you caneasly draw lewbyour own conclusions josh perhaps you can quote just a bit of her argument,19,misc
   just what do gay people do that straight people dontabsolutely nothingim a very straightas an arrow 17year old male that is involved in the bsai dont care what gay people do among each other as long as they dont makepasses at me or anything  at my summer camp where i work my boss is gaynot in a pansy way of gay i know a few but just one of the guyshe doesnt push anything on me and we give him the same respect back dueto his positionif anything the bsa has taught me i dont know tolerance or somethingbefore i met this guy i thought all gays were faries  so the bsa hastaught me to be an antibigot,0,atheism
for example if it were instinctive not to murderso only intelligent beings can be moral even if the bahavior of otherbeings mimics theirs  and how much emphasis do you place on intelligenceanimals of the same species could kill each other arbitarily but theydont  are you trying to say that this isnt an act of morality becausemost animals arent intelligent enough to think like we do,0,atheism
your posting provoked me into checking my save file for memorableposts the first i captured was by ken arromdee on 19 feb 1990 on thesubject re atheist too that was article 473 here your questionwas article 53766 which is an average of about 48 articles a day forthe last three years as others have noted the current posting rate issuch that my kill file is depressing large among the posting isaved in the early days were articles from the following notablesan interesting bunch i wonder where 2 is,0,atheism
psa 1459  the lord is good to all and his  tender  mercies  areover all his works,19,misc
